Model,Accuracy,Precision (Weighted),Recall (Weighted),F1-Score (Weighted)
Baseline (Majority Class),0.2168666242967041,0.04703113273384781,0.2168666242967041,0.07729874711787706
Naive Bayes (default alpha=1.0),0.9675479878816708,0.9692098187457786,0.9675479878816708,0.9666662440270296
Naive Bayes (tuned alpha=0.001),0.9685734449508911,0.9704219314605701,0.9685734449508911,0.9679420246009391
